id,nome,idade,nota_simulado,frequencia,turma,status_aprovação
204,Lucca Ferreira,20.0,3.4,0.69,B,Reprovado
205,Melissa Fogaça,19.0,6.1,0.83,A,Reprovado
206,Vinícius Rodrigues,18.0,0.3,0.52,A,Reprovado
207,Yago Sousa,19.0,2.2,0.55,C,Reprovado
208,Manuela Pinto,17.0,4.3,0.73,C,Reprovado
209,Valentim Pereira,19.0,0.5,0.94,B,Reprovado
210,Isabella Monteiro,17.0,8.7,0.68,B,Reprovado
211,Luiz Miguel Aragão,17.0,2.7,0.87,A,Reprovado
212,Dr. Raul Pimenta,20.0,5.6,0.87,C,Reprovado
213,Thomas Barros,20.0,6.6,0.72,B,Reprovado
214,Laura Vieira,19.0,6.3,0.62,C,Reprovado
215,Sra. Eduarda Martins,20.0,6.0,0.8,A,Reprovado
216,Benicio das Neves,20.0,0.1,0.93,B,Reprovado
217,Anthony Barbosa,17.0,1.0,0.72,B,Reprovado
218,Rebeca Pires,19.0,5.0,0.94,C,Reprovado
219,Olívia da Cruz,18.0,7.2,0.61,A,Reprovado
220,Liz Rodrigues,17.0,3.5,0.56,A,Reprovado
221,Rodrigo Araújo,16.0,2.1,0.73,B,Reprovado
222,Enzo Gabriel Pastor,18.0,2.5,0.78,B,Reprovado
223,Giovanna Pires,19.0,3.3,0.98,B,Reprovado
224,Sara Rocha,19.0,6.6,0.75,C,Reprovado
225,Marina Pimenta,20.0,4.4,0.51,B,Reprovado
227,Thales Melo,16.0,9.8,0.84,B,Aprovado
228,Théo Martins,18.0,6.9,0.88,C,Reprovado
229,Catarina Correia,20.0,5.2,0.73,C,Reprovado
230,João Gabriel Vasconcelos,19.0,5.5,0.63,A,Reprovado
231,João Felipe Caldeira,19.0,3.5,0.55,B,Reprovado
232,Dr. Diogo Castro,17.0,8.6,0.9,A,Aprovado
233,Matteo Andrade,17.0,5.8,0.64,A,Reprovado
234,Lucas Gabriel Aragão,20.0,7.5,0.85,A,Aprovado
235,Maria Luiza Rezende,18.0,3.2,0.7,B,Reprovado
237,Apollo da Rosa,17.0,9.5,0.92,C,Aprovado
238,Diego Teixeira,20.0,6.6,0.93,A,Reprovado
240,Isis Correia,17.0,7.4,0.56,B,Reprovado
241,Arthur Silveira,18.0,8.4,0.85,C,Aprovado
242,Ana Beatriz Azevedo,18.0,2.6,0.75,C,Reprovado
243,Maria Alice Oliveira,19.0,8.4,0.83,A,Aprovado
244,Rhavi Marques,20.0,3.5,0.93,C,Reprovado
245,Bruno Garcia,20.0,0.2,0.91,A,Reprovado
246,Gael Henrique Cunha,16.0,5.9,0.75,A,Reprovado
247,Mariana Rios,20.0,0.2,0.59,C,Reprovado
248,Sophie Pinto,19.0,9.4,0.76,C,Aprovado
249,Allana Oliveira,20.0,8.7,0.92,B,Aprovado
250,Felipe Teixeira,20.0,0.5,0.95,C,Reprovado
251,Isadora da Mata,19.0,5.5,0.64,A,Reprovado
252,Ana Cecília Pires,19.0,0.1,0.77,A,Reprovado
253,Cauê Cavalcanti,18.0,5.9,0.65,A,Reprovado
254,Benjamim da Luz,16.0,7.9,0.51,A,Reprovado
255,Antony Aragão,18.0,5.6,0.58,A,Reprovado
256,Luiz Henrique Abreu,19.0,3.8,0.56,A,Reprovado
257,Lunna Cardoso,16.0,3.7,0.5,C,Reprovado
258,Sra. Ana Sophia Pimenta,16.0,8.8,0.87,A,Aprovado
259,Isaac Lima,16.0,5.6,0.85,A,Reprovado
260,Brenda Novais,16.0,2.9,0.54,B,Reprovado
261,Maya Araújo,17.0,9.1,0.97,A,Aprovado
262,Emilly Mendes,20.0,1.6,0.75,C,Reprovado
263,Clara Farias,17.0,3.6,0.57,A,Reprovado
264,Maria Júlia Ramos,20.0,7.6,0.73,B,Reprovado
265,Mariah Fernandes,17.0,3.3,0.69,B,Reprovado
266,Yan Farias,19.0,5.6,0.79,A,Reprovado
268,Sra. Valentina Porto,16.0,4.1,0.87,A,Reprovado
269,Milena Garcia,19.0,9.4,0.68,B,Reprovado
270,Ana Lívia da Rocha,18.0,4.6,0.56,C,Reprovado
271,Vitor Nogueira,19.0,7.8,0.82,C,Aprovado
272,Nicole Albuquerque,19.0,8.5,0.65,B,Reprovado
273,Mathias Aragão,20.0,8.2,0.68,A,Reprovado
274,Stephany Ferreira,18.0,9.8,0.86,A,Aprovado
275,Dra. Aurora Machado,18.0,0.6,0.95,C,Reprovado
276,Emanuella Andrade,17.0,4.8,0.86,A,Reprovado
277,Lorenzo Caldeira,20.0,0.6,0.94,A,Reprovado
278,Giovanna Teixeira,-1.0,5.1,0.9,A,Reprovado
279,Enrico Cunha,20.0,3.1,0.68,C,Reprovado
280,Dr. Davi Silveira,17.0,7.0,0.67,C,Reprovado
281,Ana Liz Costa,19.0,5.4,0.68,B,Reprovado
282,Raquel da Paz,19.0,6.7,0.79,C,Reprovado
283,Rael Costa,18.0,5.0,0.75,B,Reprovado
284,Sr. Rhavi Fernandes,17.0,7.6,0.86,A,Aprovado
285,Ester Cardoso,16.0,4.4,0.61,B,Reprovado
286,Beatriz da Luz,18.0,7.2,0.5,B,Reprovado
287,Dr. Luiz Fernando Teixeira,16.0,9.7,0.78,C,Aprovado
288,Catarina Mendes,20.0,7.3,0.63,B,Reprovado
289,Ana Lívia da Conceição,16.0,9.5,0.75,A,Aprovado
290,Juan Albuquerque,18.0,3.1,0.99,A,Reprovado
291,Dr. Rael Santos,19.0,5.4,0.74,A,Reprovado
292,Gabrielly Duarte,20.0,7.9,0.75,C,Aprovado
293,André Albuquerque,18.0,6.5,0.56,B,Reprovado
294,Vitor Pastor,20.0,8.7,0.51,C,Reprovado
295,Eduarda da Rosa,19.0,9.6,0.76,C,Aprovado
296,Eloá Casa Grande,16.0,8.8,0.98,C,Aprovado
297,Letícia da Mata,16.0,5.1,0.85,A,Reprovado
298,Sr. Ravi Sá,16.0,7.9,0.93,C,Aprovado
299,André Araújo,16.0,9.5,0.84,C,Aprovado
300,Ravi Lucca Martins,17.0,1.8,0.57,B,Reprovado
301,Hadassa Leão,17.0,0.9,0.94,A,Reprovado
303,João Pedro Aparecida,19.0,9.1,0.9,B,Aprovado
304,Diego Cirino,18.0,6.6,0.95,B,Reprovado
305,Luiza Aparecida,20.0,3.1,0.54,A,Reprovado
306,Ana Carolina Viana,18.0,1.0,0.83,B,Reprovado
307,Sabrina Guerra,16.0,1.7,0.78,B,Reprovado
308,Josué Moreira,17.0,4.6,0.98,B,Reprovado
309,Benjamim Câmara,16.0,4.0,0.61,C,Reprovado
310,Júlia Camargo,20.0,3.4,0.97,A,Reprovado
311,Sra. Anna Liz Cunha,18.0,9.1,0.99,C,Aprovado
312,Murilo Brito,16.0,4.5,0.66,C,Reprovado
313,Maria Júlia Carvalho,19.0,5.5,0.73,C,Reprovado
314,Raul Fonseca,16.0,1.1,0.69,B,Reprovado
315,Maya das Neves,20.0,7.8,0.66,B,Reprovado
316,Emanuella da Luz,16.0,3.4,0.71,A,Reprovado
317,Melina Camargo,19.0,5.9,0.79,C,Reprovado
318,Kaique Moura,20.0,0.0,0.99,A,Reprovado
319,Davi Gonçalves,20.0,8.2,0.54,B,Reprovado
320,Danilo Fonseca,16.0,4.1,0.98,C,Reprovado
321,Joana da Luz,20.0,2.0,0.73,C,Reprovado
322,Aurora Silva,19.0,7.5,0.84,C,Aprovado
323,Mariana Siqueira,20.0,4.9,0.54,A,Reprovado
324,Olívia Araújo,18.0,1.0,0.97,C,Reprovado
325,Enzo Macedo,16.0,9.0,0.68,A,Reprovado
326,Calebe Carvalho,19.0,8.8,0.51,C,Reprovado
327,Luiz Felipe Souza,20.0,8.4,0.54,C,Reprovado
328,Nicole Fonseca,19.0,9.1,0.6,C,Reprovado
329,Alice Moreira,17.0,7.9,0.75,A,Aprovado
330,Heloísa Viana,17.0,0.6,0.86,C,Reprovado
331,Sr. Luiz Miguel da Cruz,16.0,3.1,0.95,C,Reprovado
332,Lorena Vasconcelos,20.0,2.8,0.64,B,Reprovado
333,Kamilly Novaes,18.0,5.0,0.86,A,Reprovado
334,Ana Carolina Cavalcante,16.0,2.6,0.75,C,Reprovado
335,Sr. Davi Miguel Mendonça,17.0,9.5,0.53,A,Reprovado
336,Diego da Luz,20.0,5.1,0.74,B,Reprovado
337,Raul Macedo,16.0,3.0,0.79,B,Reprovado
338,Dra. Rafaela Gonçalves,16.0,7.0,0.65,B,Reprovado
339,Lucas Gabriel Pereira,18.0,3.2,0.86,C,Reprovado
340,Gabriel Sousa,-1.0,2.1,0.88,C,Reprovado
341,Marcela Porto,17.0,5.1,0.81,A,Reprovado
342,Maysa Nunes,18.0,9.2,0.75,A,Aprovado
343,Rafael Oliveira,17.0,6.8,0.86,C,Reprovado
344,Lucas Gabriel Nascimento,17.0,8.8,0.82,A,Aprovado
345,Lara Andrade,17.0,1.1,0.52,C,Reprovado
346,Theo Cavalcanti,20.0,4.1,0.78,B,Reprovado
347,Joana Pinto,16.0,0.3,0.96,A,Reprovado
348,Igor Gomes,16.0,6.7,0.72,B,Reprovado
349,Laura Abreu,16.0,4.0,0.81,A,Reprovado
350,Isadora Cardoso,19.0,4.6,0.62,C,Reprovado
351,Sr. Marcelo Farias,18.0,7.6,0.85,C,Aprovado
352,Isabela Fogaça,18.0,8.8,0.77,C,Aprovado
353,Bruno Teixeira,17.0,7.8,0.62,C,Reprovado
354,Alexia Dias,17.0,7.4,0.59,B,Reprovado
355,Isabelly Jesus,17.0,4.0,0.96,C,Reprovado
356,Luísa Araújo,19.0,3.7,0.64,B,Reprovado
357,Pedro Lucas Oliveira,16.0,6.5,0.75,C,Reprovado
358,Emanuel Fonseca,16.0,0.8,0.86,C,Reprovado
359,Benicio da Luz,18.0,0.8,0.58,A,Reprovado
360,Renan Nogueira,19.0,8.3,0.87,B,Aprovado
361,Amanda Mendonça,17.0,0.9,0.6,A,Reprovado
362,Isaac Costela,17.0,5.3,0.88,A,Reprovado
363,João Miguel Novaes,17.0,1.5,0.77,C,Reprovado
364,José Miguel Silva,18.0,1.2,0.72,C,Reprovado
365,Rafael Guerra,19.0,3.6,0.81,C,Reprovado
366,Larissa Montenegro,18.0,1.1,0.78,C,Reprovado
367,Vinicius Aragão,17.0,7.9,0.61,B,Reprovado
368,Ana Nogueira,18.0,9.2,0.81,C,Aprovado
369,Amanda Macedo,20.0,7.4,0.6,A,Reprovado
370,Natália Teixeira,20.0,7.0,0.91,A,Aprovado
371,Srta. Luara Cirino,19.0,3.9,0.97,A,Reprovado
372,Srta. Bianca Montenegro,19.0,8.7,0.63,B,Reprovado
373,Bella Carvalho,17.0,0.2,0.68,B,Reprovado
374,Sra. Bianca Siqueira,19.0,8.7,0.97,A,Aprovado
375,Ana Laura Jesus,19.0,6.3,0.72,C,Reprovado
376,Brenda Fonseca,20.0,2.3,0.55,C,Reprovado
377,Marcos Vinicius Macedo,20.0,4.6,0.8,C,Reprovado
378,Zoe Ribeiro,16.0,7.3,0.55,C,Reprovado
379,Alana da Mata,19.0,8.1,0.84,C,Aprovado
380,Sr. Thomas Melo,19.0,9.9,0.95,C,Aprovado
381,Emilly Aragão,17.0,5.9,0.91,C,Reprovado
382,Eduarda Siqueira,20.0,4.6,0.97,B,Reprovado
383,Sra. Rebeca Costa,19.0,6.0,0.58,B,Reprovado
384,Pedro Lucas Fogaça,17.0,4.9,0.74,C,Reprovado
385,Maria Cecília Alves,19.0,6.7,0.79,B,Reprovado
386,Rodrigo Freitas,20.0,6.3,0.52,C,Reprovado
387,Maria Flor Jesus,18.0,7.1,0.6,C,Reprovado
388,Ravi Lucca Guerra,16.0,4.4,0.98,A,Reprovado
389,Srta. Stephany Silveira,20.0,8.2,0.59,A,Reprovado
390,Henry Almeida,18.0,2.5,0.84,B,Reprovado
391,Pietro Costa,18.0,9.4,0.81,B,Aprovado
392,Srta. Eloá Nascimento,19.0,7.5,0.94,A,Aprovado
393,Isabel Albuquerque,18.0,4.3,0.74,B,Reprovado
394,Nina Moraes,20.0,2.8,0.68,B,Reprovado
395,Fernanda Vasconcelos,20.0,5.2,0.56,C,Reprovado
396,Dr. Henry Jesus,17.0,6.0,0.57,C,Reprovado
397,Henry Gabriel Cirino,20.0,1.1,0.79,B,Reprovado
398,Luiz Miguel Brito,18.0,2.1,0.95,A,Reprovado
399,Allana Câmara,16.0,3.6,0.67,C,Reprovado
400,Sr. Raul Cavalcanti,20.0,4.7,0.62,A,Reprovado
401,Arthur Sales,20.0,8.9,0.96,B,Aprovado
402,Maria Vitória Santos,19.0,4.6,0.6,C,Reprovado
403,Dom Fonseca,16.0,3.2,0.8,A,Reprovado
404,Theodoro Teixeira,18.0,3.6,0.71,B,Reprovado
405,Gabrielly Silveira,18.0,2.6,0.61,A,Reprovado
406,Isadora Rocha,-1.0,2.4,0.7,A,Reprovado
407,Lucca Oliveira,19.0,2.3,0.98,A,Reprovado
408,Ryan Guerra,18.0,6.4,0.58,C,Reprovado
409,Dra. Ana Liz Martins,19.0,8.6,0.64,C,Reprovado
410,Ian Barros,19.0,0.5,0.59,B,Reprovado
411,Igor Sampaio,17.0,9.7,0.81,C,Aprovado
412,Clara Lopes,19.0,1.3,0.93,C,Reprovado
413,João da Costa,16.0,4.3,0.77,C,Reprovado
414,Isabelly Viana,16.0,8.0,0.73,A,Reprovado
416,Letícia Monteiro,16.0,8.2,0.62,C,Reprovado
417,Davi Miguel Freitas,19.0,1.6,0.73,C,Reprovado
418,Lorena Santos,18.0,2.8,0.82,A,Reprovado
419,Daniela Pinto,18.0,7.7,0.84,B,Aprovado
420,Gael Henrique Aparecida,18.0,0.7,1.0,C,Reprovado
421,Sra. Amanda Pimenta,16.0,7.9,0.64,A,Reprovado
422,Luan da Cunha,19.0,3.6,0.76,A,Reprovado
423,Maria Eduarda Moreira,19.0,2.3,0.75,B,Reprovado
425,Sophie Souza,19.0,6.0,0.76,A,Reprovado
426,Ana Lívia Freitas,20.0,7.2,0.53,C,Reprovado
427,Sabrina Macedo,16.0,7.9,0.51,A,Reprovado
429,Ana Clara Fogaça,19.0,9.8,0.76,B,Aprovado
430,Luigi Sampaio,17.0,9.5,0.72,B,Reprovado
431,Benjamim Moraes,16.0,1.0,0.83,A,Reprovado
432,Davi Lucas Araújo,19.0,3.7,0.54,A,Reprovado
433,Pietra Pacheco,18.0,2.4,0.61,C,Reprovado
434,João Felipe Leão,16.0,5.1,0.59,B,Reprovado
435,Dra. Heloisa Freitas,17.0,7.8,0.53,C,Reprovado
436,Francisco Caldeira,-1.0,4.8,0.59,A,Reprovado
437,Maria Júlia Siqueira,17.0,6.8,0.68,A,Reprovado
438,Rebeca Farias,20.0,3.7,0.94,C,Reprovado
439,Dr. Raul Campos,17.0,2.6,0.99,C,Reprovado
440,Helena Rodrigues,18.0,3.9,0.7,B,Reprovado
441,Emilly Freitas,19.0,0.7,0.65,B,Reprovado
442,Maria Sophia da Conceição,19.0,2.2,0.84,A,Reprovado
443,Francisco Cirino,20.0,0.5,0.93,B,Reprovado
444,Léo Fogaça,16.0,7.9,0.93,B,Aprovado
445,Caio Santos,18.0,2.6,0.83,A,Reprovado
446,Mariane Santos,19.0,5.7,0.66,A,Reprovado
447,Francisco Souza,18.0,6.1,0.58,A,Reprovado
448,Eloah Peixoto,16.0,6.7,0.7,C,Reprovado
449,Luan Siqueira,16.0,8.6,0.64,B,Reprovado
450,Dr. Yago Nunes,17.0,5.3,0.71,B,Reprovado
451,Yuri Almeida,17.0,7.5,0.63,C,Reprovado
452,Lavínia Casa Grande,18.0,0.1,0.53,A,Reprovado
454,Srta. Luara da Mota,17.0,5.9,0.84,B,Reprovado
455,Pedro Henrique Almeida,18.0,4.0,0.5,C,Reprovado
456,Renan Martins,19.0,0.1,0.84,A,Reprovado
457,Carolina da Rosa,19.0,2.3,0.74,B,Reprovado
